,Identifier,Company Name,Country of Exchange,Exchange Name,TRBC Economic Sector Name,Total Assets,ROA ,Total Current Assets,Total Debt,Total Equity,"Property/Plant/Equipment, Total - Net",Cash from Operating Activities,Cash from Financing Activities,Cash from Investing Activities,Price To Book Value Per Share ,Depreciation,Total Current Liabilities,Retained Earnings ,Cash and Short Term Investments,Cash Dividend Paid,Company Market Cap,Shares Held By Strategic Investors,Free Cash Flow,Total Revenue,"Accounts Receivable - Trade, Net",Accounts Payable,Total Common Shares Outstanding,TRBC Economic Sector Name,TRBC Business Sector Name,Price close,EBIT
99,TVD.HN,Vinacomin Vang Danh Coal JSC,Vietnam,HANOI STOCK EXCHANGE,Energy,"2,361,034,010,500.00",,"770,643,198,850.00","850,221,152,990.00","553,416,631,070.00","1,021,633,506,170.00","703,404,692,190.00","-447,270,266,420.00","-253,763,190,820.00",1.29,,"1,074,087,827,140.00","103,407,791,810.00","12,980,266,710.00",,"629,480,096,000.00","30,145,472.00",,"5,341,793,564,420.00","318,781,710,030.00","546,585,780,900.00",,Energy,Energy - Fossil Fuels,"13,117.02","9,477,577,220.00"
100,MDG.HM,Mien Dong JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Industrials,"368,328,535,840.00",4.40%,"279,827,258,350.00","60,424,721,660.00","158,495,799,570.00","48,465,994,640.00","3,769,349,950.00","-7,389,313,160.00","-5,192,016,810.00",0.95,"3,072,807,430.00","209,832,736,270.00","13,998,431,010.00","23,462,628,040.00","6,164,628,880.00","141,449,499,700.00","3,419,750.00","-7,989,279,650.00","210,845,236,450.00","94,082,297,610.00","87,786,849,450.00","10,324,780.00",Industrials,Industrial & Commercial Services,"15,000.00","13,583,074,130.00"
101,PTD.HN,Phuc Thinh Design Construction Trading Corp,Vietnam,HANOI STOCK EXCHANGE,Industrials,"190,581,794,770.00",1.60%,"136,199,817,390.00","15,635,057,020.00","59,704,955,630.00","2,025,347,770.00","54,329,522,120.00","-52,832,928,460.00","-283,170,810.00",1.17,"3,410,971,970.00","130,229,177,170.00","9,439,154,790.00","15,106,583,470.00","3,113,575,650.00","48,000,000,000.00","1,704,240.00","1,333,636,830.00","227,813,116,900.00","40,044,308,750.00","27,257,111,140.00","3,200,000.00",Industrials,Industrial & Commercial Services,"38,750.00","511,358,899,780.00"
102,NKG.HM,Nam Kim Steel JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Basic Materials,"15,397,915,366,300.00",19.20%,"12,215,599,008,280.00","3,819,654,084,720.00","5,723,203,694,550.00","2,705,823,339,120.00","-308,274,050,560.00","1,149,992,513,570.00","-308,744,235,570.00",1.6,"378,833,971,310.00","9,598,192,512,180.00","2,636,156,159,450.00","1,199,159,490,670.00",0,"8,501,694,509,999.98","61,520,279.00","2,453,380,094,600.00","28,173,402,236,230.00","1,486,919,809,450.00","4,879,071,761,790.00","218,398,570.00",Basic Materials,Mineral Resources,,"5,822,510,010.00"
103,TSB.HN,Tiasang Battery JSC,Vietnam,HANOI STOCK EXCHANGE,Industrials,"102,594,672,590.00",4.60%,"69,350,690,430.00","10,577,877,210.00","79,343,087,730.00","32,127,412,100.00","8,327,435,620.00","1,285,774,920.00","-5,846,432,570.00",0.77,"6,605,943,600.00","21,452,067,870.00","5,455,038,690.00","5,234,274,610.00","3,372,740,000.00","60,709,320,000.00","3,709,185.00","1,958,140,910.00","180,113,456,130.00","11,882,663,130.00","5,514,427,500.00","6,745,480.00",Industrials,Industrial Goods,"234,400.00","849,418,574,630.00"
104,VCF.HM,Vinacafe Bien Hoa JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Consumer Non-Cyclicals,"1,945,577,678,280.00",21.00%,"1,496,987,596,790.00","323,007,559,730.00","1,260,967,310,410.00","413,108,727,990.00","592,178,162,280.00","-658,643,534,380.00","988,981,108,700.00",3.61,"68,942,148,070.00","676,081,729,400.00","751,690,869,500.00","1,124,440,455,860.00","664,407,350,000.00","6,246,569,580,245.98","26,257,975.00","-181,482,099,800.00","2,216,909,750,200.00","125,667,638,470.00","241,745,846,800.00","26,579,140.00",Consumer Non-Cyclicals,Food & Beverages,"10,900.00","13,168,885,120.00"
105,MCF.HN,Mechanics Construction and Foodstuff JSC,Vietnam,HANOI STOCK EXCHANGE,Consumer Non-Cyclicals,"228,781,412,010.00",5.60%,"182,286,245,160.00","82,842,628,350.00","121,555,532,060.00","46,404,966,850.00","-63,705,129,200.00","63,578,249,570.00","-2,532,646,070.00",0.99,"7,540,403,530.00","106,955,879,950.00","10,854,441,180.00","5,216,580,820.00","7,544,486,600.00","117,478,434,200.00","7,045,358.00","8,358,282,260.00","443,586,894,410.00","40,979,844,950.00","10,821,685,100.00","10,777,840.00",Consumer Non-Cyclicals,Food & Beverages,"42,800.00","60,053,073,680.00"
106,DNM.HN,Danameco Medical Joint Stock Corp,Vietnam,HANOI STOCK EXCHANGE,Healthcare,"519,474,637,120.00",5.20%,"359,835,138,820.00","289,129,677,080.00","141,566,332,160.00","131,892,477,090.00","34,232,937,330.00","-6,256,698,080.00","-20,425,651,800.00",1.45,"41,291,113,810.00","283,605,761,110.00","28,145,600,160.00","47,796,089,910.00",,"187,361,494,000.00","3,837,873.00","47,263,798,670.00","546,641,951,320.00","128,538,078,770.00","50,499,344,130.00","4,377,610.00",Healthcare,Healthcare Services & Equipment,"16,500.00","32,157,339,190.00"
107,VCA.HM,Vnsteel Vicasa JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Basic Materials,"578,440,911,230.00",8.10%,"515,189,973,760.00","242,333,296,140.00","240,052,338,570.00","55,578,575,990.00","-248,210,533,720.00","226,853,004,030.00","-4,296,561,270.00",1.02,"26,359,252,610.00","338,388,572,660.00","52,738,228,190.00","20,763,229,800.00","15,430,292,120.00","250,590,813,000.00","10,962,848.00","42,478,114,660.00","2,613,329,838,310.00","117,777,597,310.00","48,435,469,660.00","15,187,320.00",Basic Materials,Mineral Resources,"34,600.00","32,281,495,870.00"
108,D11.HN,Real Estate 11 JSC,Vietnam,HANOI STOCK EXCHANGE,Real Estate,"365,719,594,090.00",8.90%,"254,063,557,080.00","59,746,834,970.00","166,329,473,170.00","4,244,676,650.00","-8,712,908,040.00","-80,231,107,640.00","33,033,303,620.00",1.36,"4,422,561,980.00","178,115,644,100.00","28,680,806,530.00","42,671,055,680.00",0,"226,697,989,000.00","4,215,310.00","45,702,433,280.00","298,505,534,230.00","45,859,768,330.00","7,400,613,690.00","6,551,970.00",Real Estate,Real Estate,"59,000.00","117,918,247,520.00"
109,PTI.HN,Post & Telecommunication Joint Stock Insurance Corp,Vietnam,HANOI STOCK EXCHANGE,Financials,"8,564,759,561,600.00",3.20%,,0,"2,176,703,879,950.00","104,781,723,740.00","260,061,893,820.00","-79,926,579,690.00","-325,055,387,300.00",2.24,"26,605,200,710.00",,"518,784,091,480.00",,"79,926,579,690.00","4,743,346,830,999.98","64,244,288.00","104,895,468,470.00","5,003,366,542,140.00",,"538,684,318,280.00","80,395,710.00",Financials,Insurance,"17,400.00","103,802,613,530.00"
110,CCL.HM,Cuu Long Petro Urban Development and Investment Corp,Vietnam,HOCHIMINH STOCK EXCHANGE,Real Estate,"1,201,275,612,760.00",6.70%,"1,076,457,268,250.00","307,895,208,060.00","586,928,488,910.00","86,902,800,530.00","39,354,805,200.00","-25,865,290,580.00","-18,777,750,210.00",1.35,,"500,184,170,500.00","79,484,978,810.00","13,649,045,340.00","44,111,444,350.00","826,497,999,000.00","16,525,290.00","32,092,652,420.00","974,002,032,320.00","352,609,703,200.00","74,823,074,100.00","47,499,890.00",Real Estate,Real Estate,"9,298.81","2,814,605,900.00"
111,HU3.HM,HUD3 Investment and Construction JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Real Estate,"346,706,892,670.00",0.20%,"310,649,378,500.00","66,429,728,600.00","148,496,175,230.00","23,676,528,030.00","-37,607,799,010.00","47,346,589,430.00","-6,964,630.00",0.63,"3,122,019,390.00","198,210,717,440.00","21,522,831,670.00","13,535,956,810.00",0,"95,899,462,960.00","7,693,964.00","3,162,908,500.00","155,272,499,760.00","100,472,350,160.00","7,092,229,000.00","9,999,940.00",Real Estate,Real Estate,"24,800.00","101,314,353,050.00"
112,C47.HM,Construction JSC 47,Vietnam,HOCHIMINH STOCK EXCHANGE,Industrials,"1,572,251,007,750.00",2.70%,"1,040,506,783,230.00","729,061,922,400.00","324,081,296,430.00","498,460,567,050.00","106,419,549,100.00","-32,586,612,400.00","8,049,052,280.00",1.75,"48,543,824,160.00","811,501,480,620.00","52,033,315,130.00","98,774,118,560.00",0,"533,931,699,200.00","7,047,368.00","84,675,860,770.00","881,942,578,260.00","172,779,892,530.00","112,926,791,450.00","21,529,500.00",Industrials,Industrial & Commercial Services,"57,500.00","1,182,377,280.00"
113,DIH.HN,Development Investment Construction Hoi An JSC,Vietnam,HANOI STOCK EXCHANGE,Industrials,"883,836,389,860.00",0.20%,"876,200,212,180.00","630,895,242,460.00","90,559,536,240.00","4,524,186,790.00","-443,274,528,190.00","433,968,313,800.00","458,172,770.00",3.77,,"764,166,853,620.00","1,377,025,040.00","16,539,803,750.00","591,026,200.00","339,840,065,000.00","1,924,742.00","1,886,448,890.00","173,996,447,170.00","89,842,477,110.00","56,954,587,990.00","5,910,260.00",Industrials,Industrial & Commercial Services,"18,961.57","302,223,939,430.00"
114,NDN.HN,Danang Housing Investment Development JSC,Vietnam,HANOI STOCK EXCHANGE,Real Estate,"1,591,018,712,190.00",12.50%,"1,475,079,875,080.00",0,"1,047,852,593,270.00","20,785,085,280.00","-629,676,602,020.00",0,"623,089,294,360.00",1.32,,"540,198,846,190.00","304,112,990,540.00","1,039,937,949,640.00",,"1,404,495,545,600.00","13,865,265.00","236,281,760,290.00","509,426,701,370.00","86,664,187,790.00","46,020,258,050.00","71,657,940.00",Real Estate,Real Estate,"10,200.00","158,263,650.00"
115,VIE.HN,Vi Te Co Vietnam Telecommunications Technology JSC,Vietnam,HANOI STOCK EXCHANGE,Technology,"23,652,066,010.00",7.00%,"20,960,954,850.00","621,574,800.00","15,523,023,010.00","1,967,898,760.00","-614,738,610.00","621,574,800.00","1,155,400.00",1.57,,"8,054,227,010.00","-5,138,412,190.00","2,785,644,100.00",,"21,024,688,800.00","1,197,000.00","2,069,801,070.00","22,197,461,440.00","3,977,340,690.00","4,056,745,470.00","2,061,240.00",Technology,Technology Equipment,"16,000.00","285,185,465,640.00"
116,IDI.HM,I.D.I International Development and Investment Corp,Vietnam,HOCHIMINH STOCK EXCHANGE,Consumer Non-Cyclicals,"7,553,858,512,580.00",1.90%,"5,515,277,880,600.00","3,939,874,692,070.00","2,988,123,868,850.00","1,567,710,223,090.00","254,641,848,740.00","-355,924,009,390.00","-81,102,693,270.00",1.25,"124,345,439,490.00","4,115,887,461,960.00","559,760,134,260.00","1,524,477,272,650.00","79,049,210.00","3,642,313,727,999.99","127,012,745.00","8,851,785,830.00","5,718,847,615,990.00","1,349,730,078,830.00","243,015,497,070.00","227,644,610.00",Consumer Non-Cyclicals,Food & Beverages,"10,150.00","-11,815,683,020.00"
117,JVC.HM,Japan Vietnam Medical Instrument JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Healthcare,"627,726,330,830.00",-12.10%,"300,319,399,550.00","71,065,917,970.00","454,692,353,570.00","212,187,188,680.00","127,021,775,580.00","71,065,917,970.00","-118,322,931,510.00",2.53,"107,125,717,050.00","156,440,989,480.00","-1,091,808,920,530.00","120,319,128,350.00",,"1,141,876,735,650.00","31,150,000.00","-25,011,780,540.00","411,416,951,710.00","99,085,105,420.00","31,620,099,520.00","112,500,170.00",Healthcare,Healthcare Services & Equipment,"99,000.00","521,932,158,110.00"
118,PTB.HM,Phu Tai JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Consumer Cyclicals,"5,430,878,287,080.00",10.30%,"3,179,837,356,160.00","1,978,098,126,300.00","2,320,430,347,270.00","1,867,667,383,690.00","159,534,941,280.00","171,679,354,810.00","-363,031,485,420.00",2.19,"275,694,666,800.00","2,664,558,119,120.00","535,471,768,420.00","189,523,699,140.00","100,291,516,250.00","4,811,106,366,000.00","21,028,718.00","180,990,528,000.00","6,491,949,040,730.00","757,490,072,110.00","619,833,330,660.00","48,597,030.00",Consumer Cyclicals,Cyclical Consumer Products,"13,700.00","-182,365,162,620.00"
119,CIG.HM,Coma 18 JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Real Estate,"707,502,590,680.00",2.40%,"291,217,182,430.00","182,516,541,370.00","43,311,840,470.00","116,993,631,080.00","-7,193,490,770.00","5,731,300,460.00","134,800.00",10.76,"3,050,826,990.00","443,794,049,220.00","-288,375,292,450.00","916,253,050.00",,"432,097,273,900.00","22,041,749.00","20,122,049,640.00","29,583,834,840.00","19,368,379,190.00","120,333,526,850.00","31,539,950.00",Real Estate,Real Estate,"12,000.00","2,631,873,070.00"
120,INC.HN,IDICO Investment Consultancy JSC,Vietnam,HANOI STOCK EXCHANGE,Industrials,"36,169,009,870.00",7.00%,"28,781,130,650.00",0,"25,938,659,520.00","4,879,952,810.00","4,691,593,620.00","-2,735,141,640.00","-6,959,520.00",0.96,"564,772,000.00","10,230,350,360.00","2,602,376,330.00","5,241,300,830.00","2,735,141,640.00","24,000,000,000.00","1,571,100.00","383,506,690.00","24,219,504,170.00","6,801,942,850.00","2,057,717,920.00","2,000,000.00",Industrials,Industrial & Commercial Services,"42,400.00","625,485,077,870.00"
121,BSI.HM,BIDV Securities JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Financials,"6,004,732,402,730.00",8.00%,"5,681,234,228,510.00","3,640,232,773,100.00","1,719,257,051,390.00","13,105,031,250.00","-1,957,715,696,930.00","2,443,905,493,250.00","966,095,990.00",3.13,"5,751,554,650.00","4,285,475,351,350.00","391,843,754,040.00","2,287,967,242,280.00","109,413,615,600.00","5,154,597,213,599.99","97,591,918.00","248,739,744,960.00","1,333,024,979,180.00",,"1,313,841,270.00","121,570,620.00",Financials,Banking & Investment Services,"81,640.68","208,777,912,360.00"
122,THG.HM,Tien Giang Investment and Construction JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Basic Materials,"1,550,454,775,660.00",8.70%,"936,035,408,760.00","442,990,518,860.00","522,745,538,410.00","546,133,073,480.00","102,005,247,030.00","-1,251,350,950.00","-32,848,366,220.00",2.59,"51,220,360,660.00","774,958,465,760.00","223,228,835,320.00","251,368,305,560.00","73,449,546,000.00","1,319,229,875,600.00","4,872,939.00","59,792,929,500.00","1,313,298,737,520.00","219,786,940,460.00","252,950,084,550.00","15,971,310.00",Basic Materials,Mineral Resources,"36,000.00","-27,146,066,980.00"
123,HOT.HM,Hoi An Tourist Service JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Consumer Cyclicals,"75,990,007,230.00",-25.60%,"14,805,501,040.00",0,"56,961,171,030.00","50,594,471,280.00","-8,077,901,830.00",0,"8,176,449,800.00",4.77,"5,537,606,520.00","18,280,307,910.00","-45,426,899,750.00","11,100,104,290.00",0,"287,997,732,000.00","6,436,874.00","-17,744,838,920.00","26,463,143,440.00","653,394,220.00","3,221,786,650.00","7,999,940.00",Consumer Cyclicals,Cyclical Consumer Services,"8,700.00","-9,825,972,970.00"
124,SVN.HN,Vexilla Viet Nam Group JSC,Vietnam,HANOI STOCK EXCHANGE,Industrials,"274,481,304,040.00",0.30%,"176,543,914,160.00",0,"221,630,454,240.00",,"-16,116,894,360.00",0,"14,471,317,240.00",0.83,,"52,850,849,800.00","11,406,054,150.00","432,063,600.00",,"182,700,000,000.00","13,242,200.00",,"180,449,815,700.00","101,917,349,000.00","52,526,342,660.00","21,000,000.00",Industrials,Industrial & Commercial Services,"18,200.00","1,439,777,970.00"
125,IVS.HN,Guotai Junan Securities Vietnam Corp,Vietnam,HANOI STOCK EXCHANGE,Financials,"842,240,929,060.00",4.60%,"737,412,658,200.00","115,010,000,000.00","710,882,698,990.00","5,364,838,390.00","-138,520,825,880.00","115,010,000,000.00","11,503,259,000.00",1.79,"2,052,480,400.00","131,358,230,080.00","-12,715,490,940.00","184,241,770,290.00",,"1,265,496,606,632.99","36,017,400.00","36,518,019,250.00","84,155,407,480.00","-39,635,105,470.00","2,597,241,120.00","69,350,000.00",Financials,Banking & Investment Services,"23,320.00","154,647,675,120.00"
126,PGI.HM,Petrolimex Insurance Corp,Vietnam,HOCHIMINH STOCK EXCHANGE,Financials,"6,366,530,363,790.00",5.60%,,0,"1,777,934,344,910.00","359,265,427,620.00","33,422,745,920.00","-26,778,533,150.00","-16,563,383,010.00",1.23,,,"452,899,318,240.00",,"26,778,533,150.00","2,586,123,082,949.98","337,740.00","313,356,450,020.00","3,037,019,233,720.00",,"269,023,503,480.00","88,717,770.00",Financials,Insurance,"29,850.00","96,634,682,510.00"
127,BIC.HM,BIDV Insurance Corp,Vietnam,HOCHIMINH STOCK EXCHANGE,Financials,"6,044,474,081,220.00",6.70%,,"7,286,068,880.00","2,548,412,203,630.00","20,552,727,280.00","267,232,001,850.00","-12,320,000.00","-321,567,986,410.00",1.43,"6,704,888,860.00",,"420,447,350,480.00",,"12,320,000.00","3,500,715,315,749.98","100,904,129.00","390,598,300,590.00","2,155,106,755,220.00",,"502,060,155,370.00","117,276,900.00",Financials,Insurance,"259,900.00","23,422,910,420.00"
128,L14.HN,Licogi 14 JSC,Vietnam,HANOI STOCK EXCHANGE,Industrials,"1,162,741,268,740.00",44.40%,"1,098,091,763,250.00","172,302,272,010.00","545,826,767,720.00","23,687,106,760.00","-184,612,928,230.00","221,452,272,010.00","-48,805,547,810.00",16.5,"3,019,660,800.00","401,865,470,450.00","225,822,054,060.00","830,666,035,920.00",,"6,974,323,195,900.00","9,497,542.00","359,558,861,440.00","166,677,481,380.00","117,003,234,860.00","8,519,527,480.00","26,834,640.00",Industrials,Industrial & Commercial Services,"19,700.00","34,973,561,920.00"
129,GMX.HN,My Xuan Brick Tile Pottery and Construction JSC,Vietnam,HANOI STOCK EXCHANGE,Basic Materials,"157,063,880,520.00",15.60%,"45,194,738,020.00","13,491,144,520.00","106,283,366,030.00","98,480,828,750.00","26,201,103,980.00","7,449,478,630.00","-49,548,168,660.00",1.7,"10,396,407,120.00","45,446,514,490.00","14,089,324,980.00","15,710,227,330.00",0,"178,101,730,900.00","1,647,225.00","-17,008,398,180.00","213,997,120,260.00","2,960,145,080.00","7,703,256,160.00","9,034,450.00",Basic Materials,Mineral Resources,"17,800.00","764,265,690.00"
130,SVT.HM,Saigon Viendong Technology JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Basic Materials,"185,440,786,110.00",18.90%,"48,896,537,180.00",0,"184,182,931,340.00","1,133,415,130.00","16,590,046,840.00","-23,159,148,000.00","-4,306,991,080.00",1.1,"94,793,580.00","1,257,854,780.00","58,236,222,130.00","332,819,990.00","23,159,148,000.00","206,116,417,200.00","6,801,792.00","11,024,641,930.00","108,993,553,690.00",0,,"11,579,570.00",Basic Materials,Applied Resources,"11,950.00","-232,715,170.00"
131,LCM.HM,Laocai Mineral Exploitation and Processing JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Basic Materials,"248,373,943,850.00",-0.20%,"39,676,722,960.00",0,"217,965,505,950.00","98,676,043,900.00","6,992,141,640.00",,"-1,549,890,220.00",1.34,"2,177,990,530.00","22,279,959,650.00","-36,304,213,690.00","601,353,100.00",,"294,362,067,550.00","63,500.00","-8,288,129,230.00","9,787,945,600.00","2,725,329,200.00","18,333,486,790.00","24,632,810.00",Basic Materials,Mineral Resources,"11,000.00","192,556,930.00"
132,PPE.HN,PetroVietnam Power Engineering Consulting JSC,Vietnam,HANOI STOCK EXCHANGE,Industrials,"18,413,143,090.00",2.00%,"18,413,143,090.00",0,"8,551,036,300.00",0,"423,007,320.00",,"613,440.00",2.63,,"9,862,106,780.00","-11,595,830,290.00","456,489,460.00",,"22,000,000,000.00","1,922,640.00","675,186,560.00","5,351,711,470.00","-11,090,720.00","4,251,423,510.00","2,000,000.00",Industrials,Industrial & Commercial Services,"18,000.00","-4,211,631,232,740.00"
133,FLC.HM,FLC Group JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Real Estate,"33,787,436,807,750.00",0.20%,"17,636,881,299,090.00","6,204,508,384,070.00","9,157,554,414,900.00","10,594,810,213,270.00","1,189,929,084,930.00","1,875,686,431,870.00","-4,153,893,135,130.00",1.34,"275,815,440,300.00","15,951,944,606,090.00","1,706,215,217,480.00","451,762,049,140.00",,"12,779,960,526,000.00","215,464,032.00","-1,889,247,996,820.00","6,771,891,664,550.00","2,433,573,793,030.00","1,989,328,628,780.00","709,997,810.00",Real Estate,Real Estate,"28,900.00","13,515,998,000,000.00"
134,MBB.HM,Military Commercial Joint Stock Bank,Vietnam,HOCHIMINH STOCK EXCHANGE,Financials,"607,140,419,000,000.00",2.40%,,"112,838,948,000,000.00","59,574,835,000,000.00","3,213,906,000,000.00","4,468,298,000,000.00",0,"-1,123,881,000,000.00",1.95,,,"12,915,149,000,000.00",,,"109,193,499,355,300.00","1,293,453,556.00","13,050,844,000,000.00",,,"5,077,890,000,000.00","3,778,321,780.00",Financials,Banking & Investment Services,"30,150.00","52,122,552,040.00"
135,CNG.HM,CNG Vietnam JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Utilities,"1,122,618,736,890.00",7.50%,"829,603,569,100.00","13,519,859,040.00","521,739,108,640.00","245,606,477,320.00","128,851,584,820.00","-42,479,486,960.00","-247,813,519,100.00",1.67,"107,352,630,700.00","578,883,645,900.00","99,113,228,780.00","316,765,045,400.00","53,999,346,000.00","814,040,140,950.00","15,992,597.00","-82,070,569,050.00","3,057,743,882,850.00","432,802,775,690.00","532,386,829,100.00","26,999,670.00",Utilities,Utilities,"16,600.00","27,369,498,430.00"
136,BRC.HM,Ben Thanh Rubber JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Consumer Cyclicals,"311,352,234,630.00",7.20%,"201,178,199,650.00","46,112,717,590.00","211,543,768,180.00","81,292,933,790.00","14,210,598,800.00","2,018,468,730.00","-15,085,450,380.00",0.99,"15,942,879,350.00","99,808,466,450.00","25,517,203,540.00","19,897,213,790.00","10,137,673,500.00","205,424,950,200.00","10,834,513.00","14,151,747,770.00","348,077,052,560.00","93,791,161,010.00","26,764,592,170.00","12,375,000.00",Consumer Cyclicals,Automobiles & Auto Parts,"11,150.00","64,930,592,680.00"
137,HHS.HM,Hoang Huy Investment Services JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Consumer Cyclicals,"4,265,257,318,200.00",5.80%,"802,198,494,180.00","109,244,927,200.00","3,863,997,796,740.00","36,903,566,850.00","-81,668,407,310.00","109,244,927,200.00","-90,039,047,410.00",0.95,"10,830,817,990.00","290,705,508,120.00","627,967,000,060.00","448,606,981,010.00",0,"3,431,003,852,499.98","164,145,975.00","238,947,151,920.00","516,362,984,810.00","43,065,177,380.00","64,780,707,310.00","321,448,150.00",Consumer Cyclicals,Automobiles & Auto Parts,"15,750.00","64,351,323,300.00"
138,GSP.HM,International Gas Product Shipping JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Energy,"1,298,789,801,130.00",5.20%,"542,291,019,620.00","399,076,140,540.00","657,570,551,890.00","755,170,850,730.00","39,716,271,110.00","308,934,809,290.00","-287,908,106,430.00",1.36,"62,872,189,700.00","329,159,072,030.00","58,759,034,050.00","292,577,833,160.00","54,000,000,000.00","881,157,554,621.95","25,898,352.00","-257,056,546,930.00","1,631,604,805,640.00","178,619,117,930.00","156,693,498,470.00","60,741,360.00",Energy,Energy - Fossil Fuels,"24,000.00","9,353,613,190.00"
139,AMC.HN,Asia Mineral JSC,Vietnam,HANOI STOCK EXCHANGE,Basic Materials,"85,504,247,040.00",7.80%,"41,961,241,810.00","12,057,452,000.00","50,359,907,790.00","28,781,848,660.00","4,788,228,580.00","-8,974,423,250.00","-626,898,940.00",1.4,,"31,517,272,040.00","7,079,045,970.00","5,170,133,750.00","5,700,000,000.00","68,400,000,000.00","1,268,100.00","7,764,526,390.00","157,803,608,860.00","28,049,470,830.00","14,458,487,430.00","2,850,000.00",Basic Materials,Mineral Resources,"21,100.00","62,524,012,500.00"
140,LAS.HN,Lam Thao Fertilizers and Chemicals JSC,Vietnam,HANOI STOCK EXCHANGE,Basic Materials,"2,295,101,707,450.00",3.30%,"1,960,465,923,050.00","542,492,377,070.00","1,332,473,670,500.00","324,206,021,300.00","-52,462,729,300.00","402,841,251,130.00","-404,680,595,570.00",1.81,"55,768,683,240.00","962,628,036,950.00","94,745,453,340.00","398,309,687,980.00",,"2,381,270,040,000.00","79,215,383.00","88,294,061,420.00","2,801,047,084,460.00","561,108,771,580.00","296,666,543,340.00","112,856,400.00",Basic Materials,Chemicals,"63,179.64","60,569,278,960.00"
141,DRL.HM,Hydro Power JSC-Power No.3,Vietnam,HOCHIMINH STOCK EXCHANGE,Utilities,"134,664,734,620.00",39.90%,"94,810,557,580.00",0,"122,334,044,210.00","39,006,054,520.00","53,393,988,150.00","-66,264,043,750.00","-43,818,798,600.00",5.3,,"12,330,690,410.00","22,181,752,010.00","76,670,586,160.00","66,264,043,750.00","620,350,000,000.00","3,282,350.00","-11,083,680,670.00","95,635,308,240.00","13,876,657,700.00","587,207,130.00","9,500,000.00",Utilities,Utilities,"96,200.00","8,693,634,502,150.00"
142,GAS.HM,Petrovietnam Gas Joint Stock Corp,Vietnam,HOCHIMINH STOCK EXCHANGE,Energy,"78,768,074,688,560.00",12.50%,"51,394,724,017,300.00","7,994,860,451,720.00","51,094,257,372,310.00","22,559,097,584,880.00","7,594,821,226,200.00","-774,266,665,630.00","-6,755,056,380,160.00",3.75,"3,073,271,794,100.00","16,561,261,573,890.00","10,487,292,270,020.00","30,100,156,390,380.00","5,864,872,815,740.00","184,121,990,000,000.00","1,834,246,440.00","1,312,614,990,060.00","78,992,156,122,270.00","9,906,753,836,500.00","6,630,916,343,590.00","1,913,950,000.00",Energy,Energy - Fossil Fuels,"11,800.00","-22,165,784,250.00"
143,CTX.HN,Vietnam Investment Construction and Trading Joint Stock Corp,Vietnam,HANOI STOCK EXCHANGE,Industrials,"2,116,681,450,420.00",0.00%,"660,885,942,200.00","215,249,873,630.00","972,966,576,250.00","1,293,763,378,990.00","134,534,203,820.00","-56,574,046,520.00","-95,519,688,350.00",0.98,"33,691,664,090.00","948,997,494,400.00","183,789,179,870.00","39,010,102,370.00","60,766,000.00","931,105,856,800.00","29,320,295.00","-125,868,224,800.00","95,174,437,680.00","109,621,304,680.00","239,033,377,030.00","78,907,280.00",Industrials,Industrial & Commercial Services,"29,900.00","32,007,939,210.00"
144,MED.HN,Mediplantex National Pharmaceutical JSC,Vietnam,HANOI STOCK EXCHANGE,Healthcare,"493,637,661,730.00",0.70%,"342,110,213,290.00","68,594,559,590.00","165,780,368,630.00","109,256,587,730.00","62,110,340,310.00","-25,292,769,830.00","-43,893,402,100.00",1.45,"9,535,884,830.00","327,857,293,100.00","3,753,471,160.00","94,506,792,800.00","13,280,930,100.00","371,059,000,000.00","4,533,400.00","-54,342,120,040.00","343,950,819,950.00","113,221,466,840.00","41,394,031,260.00","8,192,890.00",Healthcare,Pharmaceuticals & Medical Research,"12,000.00","15,829,177,560.00"
145,DHM.HM,Duong Hieu Trading and Mining JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Industrials,"536,444,838,410.00",12.80%,"280,595,055,830.00","102,875,279,570.00","345,391,227,460.00","34,288,843,160.00","18,267,184,620.00","-20,141,035,270.00","9,297,937,180.00",1.21,"2,483,778,370.00","191,053,610,960.00","555,109,030.00","91,274,319,740.00",,"376,754,160,000.00","10,702,474.00","-24,100,670,690.00","1,396,170,445,620.00","42,896,903,820.00","33,643,369,840.00","31,396,180.00",Industrials,Industrial Goods,"27,500.00","258,600,825,670.00"
