,Identifier,Company Name,Country of Exchange,Exchange Name,TRBC Economic Sector Name,Total Assets,ROA ,Total Current Assets,Total Debt,Total Equity,"Property/Plant/Equipment, Total - Net",Cash from Operating Activities,Cash from Financing Activities,Cash from Investing Activities,Price To Book Value Per Share ,Depreciation,Total Current Liabilities,Retained Earnings ,Cash and Short Term Investments,Cash Dividend Paid,Company Market Cap,Shares Held By Strategic Investors,Free Cash Flow,Total Revenue,"Accounts Receivable - Trade, Net",Accounts Payable,Total Common Shares Outstanding,TRBC Economic Sector Name,TRBC Business Sector Name,Price close,EBIT
11,HTC.HN,HocMon Trade JSC,Vietnam,HANOI STOCK EXCHANGE,Energy,"593,588,391,820.00",6.20%,"186,474,033,260.00","29,200,000,000.00","286,348,721,380.00","281,396,455,810.00","83,384,787,390.00","-43,492,719,500.00","-38,089,594,540.00",1.24,,"196,905,877,600.00","48,631,282,800.00","154,238,239,280.00","18,688,750,000.00","357,500,000,000.00","7,122,280.00","7,377,051,630.00","1,364,794,132,970.00","2,474,387,590.00","6,532,178,900.00","11,000,000.00",Energy,Energy - Fossil Fuels,"32,199.99","39,744,582,700.00"
12,NVT.HM,Ninh Van Bay Travel Real Estate JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Consumer Cyclicals,"1,062,509,473,980.00",-8.10%,"140,489,523,160.00","319,422,555,270.00","222,058,170,140.00","293,230,333,450.00","25,930,669,140.00","287,867,897,710.00","-297,358,541,110.00",4.76,"116,894,581,560.00","109,604,162,320.00","-707,666,426,700.00","48,067,343,420.00",0,"1,126,725,000,000.00","13,639,220.00","-42,311,684,600.00","126,629,847,960.00","-8,726,017,360.00","21,404,307,350.00","90,500,000.00",Consumer Cyclicals,Cyclical Consumer Services,"12,450.00","28,367,670,220.00"
13,VCM.HN,Vinaconex Trading And Manpower JSC,Vietnam,HANOI STOCK EXCHANGE,Industrials,"91,601,121,220.00",1.00%,"52,939,629,820.00",0,"71,067,394,090.00","14,147,281,290.00","-1,717,092,150.00","-3,725,315,640.00","6,890,080,400.00",0.79,"3,629,478,730.00","19,163,134,220.00","32,167,394,090.00","40,391,068,090.00","3,000,000,000.00","56,400,000,000.00","2,209,755.00","1,600,577,010.00","28,977,187,090.00","6,020,984,250.00","2,384,173,760.00","3,000,000.00",Industrials,Industrial & Commercial Services,"17,845.69","876,374,910.00"
14,SPM.HM,SPM Corp,Vietnam,HOCHIMINH STOCK EXCHANGE,Healthcare,"1,068,255,007,850.00",1.90%,"882,578,604,980.00","211,405,092,840.00","785,673,014,460.00","133,942,588,140.00","5,705,703,040.00","-4,067,083,770.00","-1,468,355,080.00",0.37,"8,320,194,550.00","282,581,993,390.00","444,824,015,960.00","454,559,230.00",,"283,662,000,000.00","7,967,140.00","21,114,737,660.00","709,889,549,170.00","658,669,200,950.00","25,371,916,320.00","13,770,000.00",Healthcare,Pharmaceuticals & Medical Research,"20,600.00","25,009,824,810.00"
15,CX8.HN,Constrexim No 8 Investment and Construction JSC,Vietnam,HANOI STOCK EXCHANGE,Industrials,"79,947,568,470.00",0.10%,"73,086,031,250.00","10,880,692,130.00","27,584,080,590.00","665,889,730.00","-2,106,105,370.00","-2,395,794,880.00","9,216,570.00",0.67,,"51,366,674,330.00","510,286,620.00","5,918,499,950.00","521,049,000.00","18,109,093,200.00","1,285,251.00","-274,480,600.00","70,513,648,990.00","18,715,013,300.00","442,131,260.00","2,208,430.00",Industrials,Industrial & Commercial Services,"8,200.00","475,140,910.00"
16,TNT.HM,TNT Group JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Real Estate,"586,188,089,030.00",6.30%,"504,617,440,650.00","670,850,000.00","552,657,857,810.00","561,258,200.00","-113,686,981,700.00","254,722,440,000.00","740,238,650.00",1.65,"541,475,500.00","30,136,941,220.00","40,726,857,810.00","142,277,524,500.00",,"969,000,000,000.00","3,178,120.00","30,278,467,660.00","640,949,396,540.00","59,069,270,750.00","10,041,345,700.00","51,000,000.00",Real Estate,Real Estate,"19,000.00","-2,728,050,530.00"
17,HU1.HM,HUD1 Investment and Construction JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Industrials,"688,170,005,790.00",0.10%,"651,763,956,140.00","87,668,802,930.00","134,219,677,870.00","2,496,846,100.00","95,228,031,710.00","-68,041,652,240.00","-4,944,319,500.00",1.06,,"539,293,780,160.00","8,361,501,680.00","48,087,518,940.00",,"138,000,000,000.00","5,683,559.00","3,072,451,620.00","854,619,165,670.00","264,099,511,510.00","163,159,750,250.00","10,000,000.00",Industrials,Industrial & Commercial Services,"13,800.00","12,123,429,830.00"
18,SBA.HM,Song Ba JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Utilities,"1,295,680,236,210.00",9.00%,"142,541,282,460.00","369,961,872,790.00","855,421,917,080.00","1,141,129,613,930.00","162,373,166,030.00","-124,186,828,610.00","-9,338,462,650.00",1.38,,"176,684,059,850.00","198,965,149,560.00","40,865,726,390.00","65,429,400,500.00","1,172,606,870,950.00","24,149,650.00","95,617,175,450.00","314,881,037,810.00","92,396,147,930.00","2,102,735,180.00","60,285,170.00",Utilities,Utilities,"19,450.00","148,631,226,920.00"
19,IDV.HN,VinhPhuc Infrastructure Development JSC,Vietnam,HANOI STOCK EXCHANGE,Real Estate,"1,408,767,706,630.00",11.70%,"588,089,701,860.00","29,449,391,000.00","549,695,842,470.00","156,225,196,040.00","93,409,127,780.00","-15,605,303,950.00","-61,782,390,110.00",2.61,"12,688,082,270.00","135,891,401,240.00","293,922,624,050.00","484,302,702,540.00","17,003,873,950.00","1,435,901,635,000.00","14,317,049.00","120,242,804,660.00","120,917,840,260.00","29,531,532,480.00","710,078,780.00","25,227,970.00",Real Estate,Real Estate,"56,916.64","128,237,406,770.00"
20,AME.HN,Alphanam E&c JSC,Vietnam,HANOI STOCK EXCHANGE,Industrials,"2,903,269,526,860.00",0.80%,"1,589,820,690,330.00","682,849,100,650.00","345,048,564,250.00","12,240,392,120.00","-162,295,096,210.00","175,170,403,180.00","-100,458,290.00",1.09,"2,799,405,790.00","1,270,712,200,980.00","92,207,697,340.00","25,436,013,730.00",,"367,920,000,000.00","22,542,459.00","23,596,103,520.00","1,784,702,868,310.00","899,575,652,350.00","538,523,789,700.00","25,200,000.00",Industrials,Industrial Goods,"14,600.00","78,955,048,350.00"
21,PXS.HM,Petroleum Equipment Assembly and Metal Structure JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Energy,"1,158,655,753,670.00",0.10%,"586,934,119,540.00","85,617,133,600.00","342,230,761,620.00","444,067,067,940.00","63,306,507,370.00","-36,192,618,290.00","301,928,070.00",1.98,"41,797,162,040.00","812,517,772,530.00","-363,279,512,710.00","93,076,032,290.00",,"680,999,977,300.00","36,888,147.00","40,996,313,890.00","1,081,502,091,460.00","221,653,868,810.00","553,453,325,020.00","60,000,000.00",Energy,Energy - Fossil Fuels,"11,350.00","14,256,608,050.00"
22,DTL.HM,Dai Thien Loc Corp,Vietnam,HOCHIMINH STOCK EXCHANGE,Basic Materials,"1,887,374,886,480.00",2.60%,"1,187,190,914,390.00","424,207,763,480.00","1,064,369,651,040.00","650,199,572,310.00","493,661,498,310.00","-448,231,540,920.00","-44,714,232,230.00",2.63,"69,801,717,530.00","821,166,435,440.00","245,881,789,320.00","5,631,071,010.00",,"2,728,394,280,000.00","60,237,477.00","71,726,824,360.00","1,380,751,111,680.00","148,763,444,820.00","209,769,519,840.00","60,630,980.00",Basic Materials,Mineral Resources,"45,000.00","116,613,782,370.00"
23,GDW.HN,Gia Dinh Water Supply JSC,Vietnam,HANOI STOCK EXCHANGE,Utilities,"266,152,663,620.00",,"108,035,349,330.00","23,237,761,500.00","170,012,365,660.00","298,658,733,190.00","20,460,252,950.00","-1,275,005,560.00","-88,681,640.00",1.49,,"77,104,692,620.00","36,541,172,560.00","125,083,436,160.00",,"239,400,000,000.00","3,120,688.00",,"557,921,777,900.00","36,217,055,340.00","46,236,925,980.00",,Utilities,Utilities,"25,200.00","22,516,966,350.00"
24,PDN.HM,Dong Nai Port JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Industrials,"1,141,847,598,510.00",14.90%,"378,414,901,630.00","206,288,318,740.00","724,821,477,640.00","648,198,782,710.00","225,533,293,680.00","-42,179,027,020.00","-181,285,664,890.00",2.45,"56,519,436,290.00","280,526,114,980.00","145,034,099,550.00","274,597,532,380.00","64,516,100,910.00","1,724,393,917,400.00","13,284,420.00","1,524,118,520.00","892,513,207,440.00","97,484,161,700.00","97,235,924,900.00","18,521,950.00",Industrials,Transportation,"91,734.87","183,112,207,630.00"
25,VXB.HN,Ben Tre Contruction Material JSC,Vietnam,HANOI STOCK EXCHANGE,Basic Materials,"152,489,014,830.00",3.00%,"69,479,729,680.00","85,968,152,680.00","33,879,199,420.00","48,235,469,530.00","12,878,428,220.00","-11,411,215,970.00","1,883,630.00",4.23,,"118,609,815,410.00","-24,830,991,770.00","4,931,310,720.00",,"101,225,150,000.00","692,764.00","6,131,907,850.00","54,617,815,460.00","29,495,472,750.00","15,119,482,440.00","4,049,010.00",Basic Materials,Mineral Resources,"25,000.00","-11,508,067,160.00"
26,PXI.HM,Petroleum Industrial And Civil Construction JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Industrials,"391,623,098,980.00",,"356,603,678,050.00","500,000,000.00","190,735,429,100.00","20,339,785,010.00","8,385,914,040.00","-10,250,000.00","1,501,607,710.00",1.27,,"187,985,081,290.00","-123,783,764,160.00","45,951,299,540.00",,"266,400,000,000.00","15,436,200.00",,"-18,524,457,560.00","125,884,775,470.00","84,251,222,730.00",,Industrials,Industrial & Commercial Services,"28,000.00","126,603,035,070.00"
27,NNC.HM,Nui Nho Stone JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Basic Materials,"354,494,400,410.00",10.40%,"191,283,256,900.00",0,"301,557,916,280.00","21,884,764,280.00","66,124,849,650.00","-39,250,934,820.00","4,304,408,140.00",2.08,,"49,699,113,510.00","50,693,933,610.00","81,983,820,490.00","39,250,934,820.00","613,760,000,000.00","15,130,493.00","3,130,559,910.00","159,041,506,890.00","8,708,589,360.00","3,794,023,630.00","21,920,000.00",Basic Materials,Mineral Resources,"9,360.00","-193,563,984,850.00"
28,DLG.HM,Duc Long Gia Lai Group JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Technology,"7,070,348,996,660.00",0.20%,"2,333,919,358,290.00","3,187,955,547,520.00","2,186,717,293,280.00","2,833,139,516,030.00","251,976,493,760.00","-231,210,155,040.00","-13,764,136,590.00",1.26,"211,063,175,940.00","2,734,296,489,220.00","-850,365,107,590.00","172,635,609,100.00","269,010,000.00","2,801,538,979,199.99","91,087,375.00","225,824,181,130.00","1,544,441,771,130.00","619,101,134,790.00","382,256,547,140.00","299,309,720.00",Technology,Technology Equipment,"14,450.00","16,931,904,450.00"
29,CMV.HM,Camau Trading JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Energy,"472,853,385,640.00",5.30%,"360,315,172,330.00","112,241,649,660.00","243,203,816,090.00","55,377,061,930.00","99,447,401,240.00","-112,155,289,500.00","2,459,473,690.00",1.12,"8,044,217,580.00","221,241,975,710.00","27,500,314,570.00","36,673,305,160.00","33,711,152,370.00","262,352,292,600.00","13,397,999.00","-224,002,500.00","3,861,507,072,120.00","58,452,880,750.00","83,813,142,900.00","18,155,870.00",Energy,Energy - Fossil Fuels,"14,300.00","1,155,058,550.00"
30,VE3.HN,Vneco3 Electricity Construction JSC,Vietnam,HANOI STOCK EXCHANGE,Industrials,"97,635,595,720.00",1.70%,"86,511,197,160.00","21,509,516,860.00","18,986,122,210.00","6,590,209,330.00","-3,287,014,620.00","8,670,037,070.00","-435,408,360.00",1.02,,"77,118,436,940.00","3,235,653,500.00","8,575,461,950.00",,"18,871,853,000.00","935,809.00","-1,373,955,120.00","126,773,418,930.00","28,444,434,450.00","36,140,504,250.00","1,319,710.00",Industrials,Industrial & Commercial Services,"18,400.00","44,549,436,740.00"
31,BCE.HM,Binh Duong Construction & Civil Engineering JSC,Vietnam,HOCHIMINH STOCK EXCHANGE,Industrials,"808,728,682,630.00",2.50%,"683,943,476,030.00","140,235,266,610.00","392,809,088,480.00","24,289,614,820.00","-1,210,023,220.00","61,966,734,060.00","-4,513,599,980.00",1.63,"1,613,912,870.00","415,919,594,150.00","22,609,340,250.00","71,851,739,340.00","31,502,486,270.00","644,000,000,000.00","16,661,180.00","-12,818,360,090.00","111,236,733,370.00","401,555,772,900.00","236,353,799,370.00","35,000,000.00",Industrials,Industrial & Commercial Services,"10,850.00","24,660,434,020.00"
32,UDC.HM,Urban Development and Construction Corp,Vietnam,HOCHIMINH STOCK EXCHANGE,Industrials,"1,049,135,926,910.00",-2.00%,"557,031,172,200.00","238,498,999,200.00","337,303,127,020.00","413,881,121,420.00","63,138,943,430.00","-66,489,990,630.00","856,097,860.00",1.09,"25,053,466,190.00","494,923,895,890.00","-32,383,362,530.00","12,618,703,740.00","1,092,000,000.00","376,560,100,000.00","23,789,992.00","-5,415,972,580.00","303,296,159,570.00","175,701,922,280.00","132,082,190,310.00","34,706,000.00",Industrials,Industrial & Commercial Services,"14,800.00","16,707,588,770.00"
